,name,locality,latitude,longitude,cuisines,average_cost_for_two,aggregate_rating,votes,rating_text
879,Shri Anand Ice Cream,Sudama Nagar,22.69654643,75.83203286,"Ice Cream, Beverages",150,2.9,10,Average
880,Top n Town- CGS Ice Cream Delight,Malharganj,22.71967056,75.84663514,Ice Cream,250,3.1,6,Average
881,Waff Up!,Vijay Nagar,22.76153587,75.88673785,Desserts,500,3.3,8,Average
882,Amul Waabasta Scoops,Khajrana,22.71637752,75.90645846,Ice Cream,150,3.2,9,Average
883,Nema Kulfi Faluda,By Pass Road (North),22.70329609,75.91227449,"Fast Food, Desserts, Beverages",400,3.2,9,Average
884,Baskin Robbins,Old Palasia,22.72347874,75.89470267,"Ice Cream, Desserts, Beverages",300,3,7,Average
885,Monica Galaxy,Airport Road,22.7302747,75.8090822,"Ice Cream, Desserts",150,3.1,9,Average
886,Nema Kulfi Faluda,Bhawar Kuan,22.66900029,75.88189177,Desserts,200,3.1,5,Average
887,Amrit Shri Ice Cream Parlour,Vijay Nagar,22.76161316,75.88837232,"Ice Cream, Desserts",100,2.9,8,Average
888,Ice Cream Online,Sudama Nagar,22.69183088,75.82509667,Ice Cream,150,3,5,Average
889,Ice Cream Hub,Vijay Nagar,22.75668095,75.88779565,"Ice Cream, Chinese",400,3,4,Average
891,Waffled,South Tukoganj,22.72104274,75.8785722,"Ice Cream, Desserts",250,3,4,Average
892,ifruit Delight,Vijay Nagar,22.76155071,75.8866309,"Desserts, Ice Cream",300,3,4,Average
893,Live Ice Cream,Old Palasia,22.72538218,75.89293309,Ice Cream,150,3.1,6,Average
896,Iceberg Cafe & Bharkadevi Ice Cream,Sudama Nagar,22.6917254,75.83795752,Ice Cream,250,3.1,4,Average
900,Bake N Shake,"BCM Heights, Vijay Nagar",22.75570457,75.89528706,"Cafe, Fast Food, Bakery",500,4.2,683,Very Good
901,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg",22.71538229,75.87409124,"Bakery, North Indian, South Indian, Fast Food",600,4.6,782,Excellent
